plntname,ra_str,ra,dec_str,dec,imdelthmag,imdeltjmag,imdeltkmag,imdeltlpmag,imangsep,imsep,imtruesep,impa,imdist,ns,glon,glat,imjmag,imhmag,imkmag,imlpmag,implnjmag,implnhmag,implnkmag,implnlpmag
USco CTIO 108 b,16:05:54.07,241.47532,-18:18:44.4,-18.312332,2.91,3.11E+00,2.60E+00,,4.6,670,,,145,1,354.46977,24.5388974,13.42,12.84,12.51,,1.65E+01,15.75,1.51E+01,
2MASS J01225093-2439505 b,01:22:50.94,20.712243,-24:39:50.7,-24.664049,,,4.82E+00,,1.444,52,,216.7,36,1,195.44877,-82.5201654,,,9.17,,,,1.45E+01,
2MASS J01225093-2439505 b,01:22:50.94,20.712243,-24:39:50.7,-24.664049,6.18,5.80E+00,5.36E+00,,1.45,52,,216.6,36,1,195.44877,-82.5201654,10.02,9.47,9.17,,1.68E+01,15.65,1.45E+01,
2MASS J01225093-2439505 b,01:22:50.94,20.712243,-24:39:50.7,-24.664049,,,,4.19E+00,1.452,52,,216.6,36,1,195.44877,-82.5201654,,,,9,,,,1.32E+01
2MASS J01225093-2439505 b,01:22:50.94,20.712243,-24:39:50.7,-24.664049,,5.35E+00,6.79E+00,,1.448,52,,216.5,36,1,195.44877,-82.5201654,10.02,,9.17,,1.68E+01,,1.45E+01,
2MASS J22362452+4751425 b,22:36:24.53,339.102203,+47:51:42.5,47.8618202,,,7.30E+00,,3.692,,,135.8,63,1,100.74829,-9.1089056,,,,,,,,
2MASS J22362452+4751425 b,22:36:24.53,339.102203,+47:51:42.5,47.8618202,,,8.22E+00,,3.694,,,135.7,63,1,100.74829,-9.1089056,,,,,,,,
2MASS J22362452+4751425 b,22:36:24.53,339.102203,+47:51:42.5,47.8618202,9.8,,8.20E+00,,3.696,,,135.3,63,1,100.74829,-9.1089056,,9.39,9.15,,,18.58,1.74E+01,
2MASS J22362452+4751425 b,22:36:24.53,339.102203,+47:51:42.5,47.8618202,9,,,,3.707,,,135.4,63,1,100.74829,-9.1089056,,,,,,,,
2MASS J22362452+4751425 b,22:36:24.53,339.102203,+47:51:42.5,47.8618202,,1.04E+01,,,3.705,,,135.7,63,1,100.74829,-9.1089056,,,,,,,,
2MASS J22362452+4751425 b,22:36:24.53,339.102203,+47:51:42.5,47.8618202,,9.93E+00,,,3.69,,,135.4,63,1,100.74829,-9.1089056,9.97,,,,2.00E+01,,,
Ross 458 c,13:00:41.94,195.194092,+12:21:14.7,12.3757238,,,,,102,1100,,,11.7,2,311.82538,75.085959,,,,,,,,
kap And b,23:40:24.51,355.102112,+44:20:02.2,44.333931,10.64,,,,1.07,56,,55.7,52,1,109.76586,-16.7143327,,4.6,,,,15.2,,
kap And b,23:40:24.51,355.102112,+44:20:02.2,44.333931,10.64,1.16E+01,1.00E+01,,1.058,55,,56,52,1,109.76586,-16.7143327,4.6,4.6,4.6,,1.63E+01,15.2,1.46E+01,
kap And b,23:40:24.51,355.102112,+44:20:02.2,44.333931,,,,,,,,,52,1,109.76586,-16.7143327,,,,,,,,1.31E+01
GSC 06214-00210 b,16:21:54.67,245.47778,-20:43:09.13,-20.719202,,,5.74E+00,,2.203,319,,176,145,1,355.26196,20.1247378,,,9.15,,,,1.49E+01,
GSC 06214-00210 b,16:21:54.67,245.47778,-20:43:09.13,-20.719202,,6.30E+00,5.78E+00,,2.205,147,,176,145,1,355.26196,20.1247378,,,9.15,,,,1.49E+01,
GSC 06214-00210 b,16:21:54.67,245.47778,-20:43:09.13,-20.719202,,,5.88E+00,,2.204,147,,175.9,145,1,355.26196,20.1247378,,,9.15,,,,1.50E+01,
GSC 06214-00210 b,16:21:54.67,245.47778,-20:43:09.13,-20.719202,6.21,,5.73E+00,4.75E+00,2.206,147,,175.9,145,1,355.26196,20.1247378,,,9.15,,,,1.49E+01,
HIP 79098 AB b,16:08:43.72,242.182175,-23:41:07.5,-23.6854153,,,,,2.357,344.8,,116.6,146.3,2,350.73403,20.3683332,,,,,,,,
HIP 79098 AB b,16:08:43.72,242.182175,-23:41:07.5,-23.6854153,,,,,2.37,346.7,,116.5,146.3,2,350.73403,20.3683332,,,,,1.58E+01,14.9,1.42E+01,
HIP 79098 AB b,16:08:43.72,242.182175,-23:41:07.5,-23.6854153,,,,,2.359,345.1,,116.1,146.3,2,350.73403,20.3683332,,,,,,,1.41E+01,
SR 12 AB c,23:40:24.51,246.8313,+44:20:02.2,-24.694553,,,,,8.679,1100,,,125,2,352.97994,16.5649924,,,,,,15.21,,
SR 12 AB c,23:40:24.51,246.8313,+44:20:02.2,-24.694553,,,,,8.693,1100,,,125,2,352.97994,16.5649924,,,,,,,,
